Names,Village,Monthly Income,Family Members,Connected to grid,Why not connected to grid?,Electricity available per day(in hrs),Electrical appliances,Mobile Charger(Wh),5W LED Torch,10W LED Torch,5W LED Bulb(Wh),10W LED Bulb(Wh),45W Fan(Wh),55W TV(Wh),130W Fridge(Wh),Source of fuel for  cooking,Electric meter,Electric bill of last month,Power cuts per week,Voltage problems if any,Worst months for service from the grid,Household members affected,Serious problems you experience with grid electricity,How often you pay for electricity bill,Who do you pay,How do you make your payment,Household members die because of the grid electricity,Solar devices,Why no Solar?,Solar Usage (Months),Cost of Solar,Savings after installing a solar light,Willing to shift to solar applicanes,Rechargeable batteries,Use of batteries,Cost of rechargeable battery,Electricity source to recharge the battery,Did you use KEROSENE/FUEL-BASED /CANDLE LIGHTING,Fuel source for LAMP,How often the [FUEL TYPE] available,How many months does it rain,Maximum temperature in Summer,Minimum temperature in Winter,Why no solar?,Capacity(Wh),Units Monthly,Capacity Tier,Availabilty Tier,Reliability Tier,Quality Tier,Affordability Tier,Legality Tier,Health & Safety Tier,Tier Ranking
James Rodriguez,Village 1,7762,5,No,Can't afford electricity bill,22,5,30,0,20,50,80,540,0,0,LPG,No,239.02496,8,Fluctuations,"['August', 'October', 'January']","['Children could not study', 'Could not operate a household business']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,720,21.6,2,4,4,3,5,3,5,2
Mark Paige,Village 1,5007,6,No,Can't afford electricity bill,22,7,30,0,20,100,80,540,440,0,Kerosene,No,322.75028,8,Long Power Cuts,"['November', 'February', 'January']","['Could not cook', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Always available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,3,2,3,5,2
Deborah Ingram,Village 3,11391,8,No,Connection cost is very high,4,9,15,0,40,40,40,180,220,520,Kerosene,No,296.26574,16,No Problem,"['November', 'March', 'October']","['Could not cook', 'Children could not study']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,No one (for free),Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1524,Grid,No,Diesel,Always available,4,42,10,Initial investment is high,1055,31.65,3,2,3,5,5,3,5,2
James Libengood,Village 1,3413,3,Yes,Already Connected,22,4,30,10,0,50,80,0,0,0,LPG,Yes,145.04756,8,Electrical applicances getting affected,"['September', 'January', 'October']","['Could not cook', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,Pre-paid meter card seller,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Biogas,Always available,4,42,10,Low income,170,5.1,1,4,4,3,2,5,3,1
John Warren,Village 1,4730,2,No,Connection cost is very high,22,3,30,10,0,50,0,0,0,0,Kerosene,No,131.37812,8,Electrical applicances getting affected,"['June', 'September', 'January']","['Could not charge a phone', 'Children could not study']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,No one (for free),Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Kerosene,Sometimes available,4,42,10,Low income,90,2.7,1,4,4,3,2,3,3,1
Mario Howell,Village 2,5139,4,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,LPG,Yes,139.92152,4,Electrical applicances getting affected,"['September', 'March', 'August']","['Children could not study', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,610,Grid,Yes,NA,NA,4,42,10,Initial investment is high,140,4.2,1,0,4,3,2,5,3,0
Carlos Post,Village 3,8835,6,No,Connection cost is very high,4,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,16,Long Power Cuts,"['December', 'January', 'February']","['Could not operate a household business', 'Could not cook']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,323,Shop,No,Kerosene,Always available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,3,5,2
Mary Swanger,Village 2,4738,2,Yes,Already Connected,3,3,10,5,0,10,0,0,0,0,Kerosene,Yes,113.2516,4,No Problem,"['February', 'March', 'November']","['Machines/appliances were damaged', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,Community/village/municipality,Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,342,Shop,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,5,2,5,3,0
Louise Adler,Village 1,4527,2,Yes,Already Connected,22,3,30,10,0,50,0,0,0,0,LPG,Yes,131.37812,8,Fluctuations,"['August', 'April', 'October']","['Could not operate a household business', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Monthly,Pre-paid meter card seller,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Biogas,Always available,4,42,10,Low income,90,2.7,1,4,4,3,2,5,3,1
Keith Tobar,Village 3,9098,4,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,Long Power Cuts,"['January', 'March', 'September']","['Could not cook', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,Community/village/municipality,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1474,Grid,No,Biogas,Always available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,3,2
Edward Matheney,Village 1,8515,5,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,NA,NA,Shop,No,Biogas,Rarely available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Kenneth Kelley,Village 4,8186,4,No,Connection cost is very high,5,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,20,Long Power Cuts,"['September', 'April', 'May']","['Children could not study', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,No one (for free),Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,630,Grid,No,Biogas,Always available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,3,3,2
Diane Daniels,Village 2,9926,4,No,Connection cost is very high,3,5,10,0,10,10,20,90,0,0,LPG,No,139.92152,4,Long Power Cuts,"['October', 'December', 'September']","['Could not cook', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,No one (for free),Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1545,Shop,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,140,4.2,1,0,4,3,5,3,5,0
Oliver Massey,Village 2,13705,8,No,Connection cost is very high,3,9,10,0,20,20,20,90,110,390,LPG,No,228.77288,4,Fluctuations,"['December', 'June', 'September']","['Could not charge a phone', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Cash,No,Yes,Already using,3-6 months,978,1336,Already using,Yes,Lighting,788,Solar,No,Diesel,Always available,4,42,10,No subsidies are provided,660,19.8,2,0,4,3,5,3,5,0
Raymond Frost,Village 4,4142,3,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1826,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Kristi Ray,Village 1,14857,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,1-3 months,2408,1028,Already using,Yes,NA,NA,Shop,No,Biogas,Sometimes available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Thelma Jordan,Village 1,3808,2,No,Connection cost is very high,22,3,30,10,0,50,0,0,0,0,Kerosene,No,131.37812,8,Fluctuations,"['March', 'September', 'August']","['Could not operate a household business', 'Could not charge a phone']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Rarely available,4,42,10,Low income,90,2.7,1,4,4,3,2,3,5,1
Angela Jones,Village 1,7112,4,No,Can't afford electricity bill,22,5,30,0,20,50,80,540,0,0,Kerosene,No,239.02496,8,No Problem,"['November', 'September', 'January']","['Children could not study', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Biogas,Always available,4,42,10,Initial investment is high,720,21.6,2,4,4,5,5,3,3,2
Kimberly Nunez,Village 1,9904,5,Yes,Already Connected,22,5,30,0,20,50,80,540,0,0,LPG,Yes,239.02496,8,Electrical applicances getting affected,"['March', 'June', 'May']","['Could not cook', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Monthly,Pre-paid meter card seller,Cash,No,No,Low income,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Diesel,Rarely available,4,42,10,Initial investment is high,720,21.6,2,4,4,3,5,5,5,2
Nicole Bevington,Village 1,11356,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,NA,NA,Shop,No,Diesel,Rarely available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Robert Russell,Village 1,3596,2,No,Can't afford electricity bill,22,3,30,10,0,50,0,0,0,0,LPG,No,131.37812,8,Long Power Cuts,"['May', 'December', 'March']","['Children could not study', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Biogas,Always available,4,42,10,Low income,90,2.7,1,4,4,3,2,3,5,1
Mary Sperrey,Village 4,3026,3,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,918,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Robert Murchison,Village 1,14561,8,Yes,Already Connected,22,9,30,0,40,100,80,540,440,2860,LPG,Yes,1292.36176,8,Electrical applicances getting affected,"['May', 'March', 'April']","['Could not operate a household business', 'Children could not study']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,Community/village/municipality,Online,Yes,Yes,Already using,6-12 months,882,1314,Already using,No,NA,NA,NA,No,Biogas,Always available,4,42,10,No subsidies are provided,4090,122.7,4,4,4,3,5,5,3,3
Natasha Willis,Village 2,5497,5,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,Kerosene,Yes,139.92152,4,No Problem,"['November', 'February', 'August']","['Could not operate a household business', 'Children could not study']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Weekly,Pre-paid meter card seller,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1264,Grid,Yes,NA,NA,4,42,10,Initial investment is high,140,4.2,1,0,4,5,2,5,5,0
Jeff Papa,Village 4,4465,2,No,Can't afford electricity bill,5,3,15,10,0,20,0,0,0,0,Kerosene,No,123.68906,20,Fluctuations,"['January', 'October', 'April']","['Could not operate a household business', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,No one (for free),Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1900,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,3,5,1
Maria Faulk,Village 2,9501,4,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,Kerosene,Yes,139.92152,4,Long Power Cuts,"['June', 'October', 'December']","['Machines/appliances were damaged', 'Could not charge a phone']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,Pre-paid meter card seller,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,615,Grid,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,140,4.2,1,0,4,3,5,5,3,0
Maxine Seibel,Village 2,10174,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1252,Shop,No,Kerosene,Always available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Suzanne Galvan,Village 4,10025,8,No,Can't afford electricity bill,5,9,15,0,40,40,40,180,220,650,Kerosene,No,318.47858,20,No Problem,"['October', 'August', 'May']","['Could not cook', 'Could not operate a household business']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,No one (for free),Online,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1787,Shop,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,1185,35.55,3,2,3,5,5,3,3,2
Shanda Edgerton,Village 2,10449,7,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,Fluctuations,"['January', 'September', 'December']","['Could not operate a household business', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Landlord,Online,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,437,Grid,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,3,0
Samuel Gingerich,Village 3,12699,8,Yes,Already Connected,4,9,15,0,40,40,40,180,220,520,LPG,Yes,296.26574,16,Fluctuations,"['September', 'March', 'January']","['Could not charge a phone', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Monthly,Landlord,Online,No,Yes,Already using,6-12 months,1609,1091,Already using,Yes,Lighting,357,Solar,No,Diesel,Sometimes available,4,42,10,Initial investment is high,1055,31.65,3,2,3,3,5,5,5,2
Stephen Pittman,Village 2,9703,4,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,Kerosene,Yes,139.92152,4,Electrical applicances getting affected,"['December', 'October', 'September']","['Could not cook', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Cash,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,886,Shop,No,Kerosene,Always available,4,42,10,No subsidies are provided,140,4.2,1,0,4,3,5,5,5,0
Maria Cohen,Village 4,3982,3,Yes,Already Connected,5,4,15,10,0,20,40,0,0,0,LPG,Yes,130.52378,20,No Problem,"['January', 'September', 'August']","['Machines/appliances were damaged', 'Could not operate a household business']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,Community/village/municipality,Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1985,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,5,5,1
Mary Paul,Village 4,7650,6,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1608,Shop,No,Biogas,Sometimes available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Paul Ash,Village 1,8754,5,Yes,Already Connected,22,5,30,0,20,50,80,540,0,0,Kerosene,Yes,239.02496,8,No Problem,"['November', 'December', 'April']","['Machines/appliances were damaged', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Monthly,Landlord,Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,720,21.6,2,4,4,5,5,5,3,2
Elmer Emanuel,Village 1,3711,2,No,Can't afford electricity bill,22,3,30,10,0,50,0,0,0,0,Kerosene,No,131.37812,8,Long Power Cuts,"['April', 'January', 'February']","['Could not charge a phone', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,No one (for free),Cash,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Always available,4,42,10,Low income,90,2.7,1,4,4,3,2,3,5,1
Laurinda Taylor,Village 3,11069,8,Yes,Already Connected,4,9,15,0,40,40,40,180,220,520,LPG,Yes,296.26574,16,Fluctuations,"['January', 'December', 'February']","['Machines/appliances were damaged', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,Pre-paid meter card seller,Cash,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1042,Grid,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,1055,31.65,3,2,3,3,5,5,5,2
Edward Hatmaker,Village 2,5146,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,No Problem,"['September', 'March', 'February']","['Machines/appliances were damaged', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,Landlord,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1918,Grid,Yes,NA,NA,4,42,10,No subsidies are provided,260,7.8,2,0,4,5,2,5,3,0
Selma Mendoza,Village 4,9442,5,Yes,Already Connected,5,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,20,Fluctuations,"['January', 'February', 'May']","['Machines/appliances were damaged', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,Community/village/municipality,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,498,Grid,No,Diesel,Sometimes available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,3,2
Johnnie Cover,Village 3,6518,4,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,16,Fluctuations,"['September', 'November', 'March']","['Could not cook', 'Could not charge a phone']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Cash,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,883,Grid,No,Kerosene,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,5,2
Virginia Jacobs,Village 1,10209,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,NA,NA,Shop,No,Biogas,Always available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Amy Robertson,Village 2,7236,4,No,Connection cost is very high,3,5,10,0,10,10,20,90,0,0,LPG,No,139.92152,4,Electrical applicances getting affected,"['April', 'September', 'January']","['Machines/appliances were damaged', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,No one (for free),Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1777,Shop,No,Kerosene,Always available,4,42,10,No subsidies are provided,140,4.2,1,0,4,3,5,3,3,0
Sue Mckoy,Village 4,8629,6,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1202,Shop,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Bernard Lewis,Village 2,8082,5,No,Can't afford electricity bill,3,5,10,0,10,10,20,90,0,0,LPG,No,139.92152,4,Fluctuations,"['April', 'June', 'February']","['Children could not study', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,No one (for free),Online,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,555,Shop,No,Diesel,Rarely available,4,42,10,No subsidies are provided,140,4.2,1,0,4,3,5,3,5,0
Marc Strom,Village 4,5916,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,20,No Problem,"['November', 'February', 'January']","['Could not cook', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,Community/village/municipality,Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1825,Shop,Yes,NA,NA,4,42,10,No subsidies are provided,515,15.45,2,2,3,5,2,5,5,2
Hilda Harrington,Village 2,7717,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,Electrical applicances getting affected,"['November', 'May', 'February']","['Machines/appliances were damaged', 'Could not cook']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Weekly,Community/village/municipality,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,908,Grid,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,260,7.8,2,0,4,3,5,5,3,0
Kimberly Hunter,Village 2,13142,8,No,Connection cost is very high,3,9,10,0,20,20,20,90,110,390,LPG,No,228.77288,4,No Problem,"['May', 'November', 'March']","['Children could not study', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,No one (for free),Pay at the utility office,No,Yes,Already using,More than a year,1480,1256,Already using,Yes,Lighting,1022,Solar,No,Biogas,Rarely available,4,42,10,No subsidies are provided,660,19.8,2,0,4,5,5,3,5,0
Minnie Olson,Village 1,3219,2,Yes,Already Connected,22,3,30,10,0,50,0,0,0,0,Kerosene,Yes,131.37812,8,Long Power Cuts,"['November', 'January', 'August']","['Could not cook', 'Children could not study']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Landlord,Online,No,No,Low income,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Biogas,Sometimes available,4,42,10,Low income,90,2.7,1,4,4,3,2,5,5,1
Thomas Allen,Village 2,7012,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,Electrical applicances getting affected,"['December', 'May', 'June']","['Could not cook', 'Children could not study']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Landlord,Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,410,Shop,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,5,0
Steve Abell,Village 2,8760,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,No Problem,"['May', 'April', 'February']","['Could not cook', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,Landlord,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1668,Shop,No,Biogas,Rarely available,4,42,10,Initial investment is high,260,7.8,2,0,4,5,5,5,3,0
Sharon Cabrera,Village 2,14409,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,Kerosene,Yes,228.77288,4,No Problem,"['June', 'December', 'March']","['Could not operate a household business', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,Landlord,Cash,No,Yes,Already using,More than a year,2018,1240,Already using,Yes,Lighting,1301,Solar,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,660,19.8,2,0,4,5,5,5,5,0
Jacqueline Garcia,Village 2,9968,5,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,LPG,Yes,139.92152,4,No Problem,"['June', 'March', 'February']","['Could not operate a household business', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Monthly,Community/village/municipality,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1444,Grid,No,Kerosene,Always available,4,42,10,No subsidies are provided,140,4.2,1,0,4,5,5,5,3,0
Peter Thompson,Village 1,4296,3,Yes,Already Connected,22,4,30,10,0,50,80,0,0,0,LPG,Yes,145.04756,8,No Problem,"['April', 'May', 'June']","['Could not operate a household business', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,Community/village/municipality,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Diesel,Always available,4,42,10,Low income,170,5.1,1,4,4,5,2,5,3,1
Ryan Schmidt,Village 1,7869,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,No Problem,"['March', 'October', 'February']","['Children could not study', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Monthly,Community/village/municipality,Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,5,5,5,5,3
Edward Sherry,Village 4,7276,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,20,Long Power Cuts,"['March', 'May', 'September']","['Children could not study', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,Pre-paid meter card seller,Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,660,Grid,No,Biogas,Sometimes available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,5,5,2
James Goza,Village 2,8884,4,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,Kerosene,Yes,139.92152,4,Electrical applicances getting affected,"['November', 'March', 'August']","['Children could not study', 'Could not operate a household business']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,Landlord,Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,696,Grid,No,Diesel,Sometimes available,4,42,10,Initial investment is high,140,4.2,1,0,4,3,5,5,5,0
